run_id,epoch,trial_index_in_epoch,timestamp_iso,benchmark,runtime,input_size,input_path,wall_clock_s,exit_code,energy_pkg_uj_total,energy_core_uj_total,avg_power_pkg_w,avg_power_core_w,user_cpu_s,sys_cpu_s,max_rss_kb,num_rapl_samples,governor,cpu_freq_pre_mhz,cpu_freq_post_mhz,cpu_temp_pre_c,cpu_temp_post_c,notes
e04-t012-wf-pash_cold-10M-967858,4,12,2026-05-03T23:03:26-0400,wf,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.064423,0,65660636,2151378,32.8289,1.0756,3.86,0.69,23764,21,schedutil,1550.0,1550.0,,,
idle-intertrial-04-013-1cd723,4,13,2026-05-03T23:03:31-0400,idle_intertrial,idle,,,5.000127,0,62567535,195592,12.5133,0.0391,0,0,0,51,schedutil,,,,,idle baseline
e04-t013-sort-sort-pash_cold-100M-b5b126,4,13,2026-05-03T23:03:37-0400,sort-sort,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,5.303770,0,182169931,13249376,34.3697,2.4997,9.46,3.37,54688,54,schedutil,1490.4,1550.0,,,
idle-intertrial-04-014-81b8a3,4,14,2026-05-03T23:03:42-0400,idle_intertrial,idle,,,5.000188,0,46974591,38297,9.3947,0.0077,0,0,0,51,schedutil,,,,,idle baseline
e04-t014-nfa-regex-pash_cold-10M-48d2fe,4,14,2026-05-03T23:03:54-0400,nfa-regex,pash_cold,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,12.164498,0,404980064,2312518,33.4691,0.1911,22.73,0.52,22916,122,schedutil,1550.0,1375.0,,,
idle-intertrial-04-015-2f5b70,4,15,2026-05-03T23:03:59-0400,idle_intertrial,idle,,,5.000451,0,45469053,70309,9.0929,0.0141,0,0,0,51,schedutil,,,,,idle baseline
e04-t015-sort-sort-bash-1M-e0dd2c,4,15,2026-05-03T23:03:59-0400,sort-sort,bash,1M,/home/aaronzp/dev/pash-exp/scripts/inputs/1M.txt,0.124235,0,2329653,13702,23.2730,0.1369,0.1,0.02,5020,2,schedutil,1550.0,1550.0,,,
idle-intertrial-04-016-806228,4,16,2026-05-03T23:04:04-0400,idle_intertrial,idle,,,5.000567,0,47783585,63245,9.5557,0.0126,0,0,0,51,schedutil,,,,,idle baseline
e04-t016-spell-bash-10M-f1a8bf,4,16,2026-05-03T23:04:07-0400,spell,bash,10M,/home/aaronzp/dev/pash-exp/scripts/inputs/10M.txt,2.778219,0,80982109,2516120,29.9923,0.9319,3.35,0.92,10452,28,schedutil,1376.2,1550.0,,,
idle-intertrial-04-017-905060,4,17,2026-05-03T23:04:12-0400,idle_intertrial,idle,,,5.000605,0,46648085,60116,9.3287,0.0120,0,0,0,51,schedutil,,,,,idle baseline
e04-t017-nfa-regex-pash_cold-100M-00c0d6,4,17,2026-05-03T23:06:06-0400,nfa-regex,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,114.139234,0,3992737807,466428073,34.9933,4.0879,225.6,3.25,53044,1142,schedutil,1550.0,1550.0,,,
idle-intertrial-04-018-3f4ae0,4,18,2026-05-03T23:06:11-0400,idle_intertrial,idle,,,5.000578,0,47885494,208699,9.5761,0.0417,0,0,0,51,schedutil,,,,,idle baseline
e04-t018-wf-pash_cold-100M-47b913,4,18,2026-05-03T23:06:23-0400,wf,pash_cold,100M,/home/aaronzp/dev/pash-exp/scripts/inputs/100M.txt,11.793845,0,466891687,21457096,39.9049,1.8339,33.0,4.48,53076,118,schedutil,1550.0,1550.0,,,
idle-intertrial-04-019-919a7c,4,19,2026-05-03T23:06:28-0400,idle_intertrial,idle,,,5.000157,0,48961793,50794,9.7921,0.0102,0,0,0,51,schedutil,,,,,idle baseline
